observation_date,FPCPITOTLZGNLD
1960-01-01,2.3239436619721801
1961-01-01,1.3076393668273101
1962-01-01,2.4311226441781000
1963-01-01,3.2436473739640101
1964-01-01,5.8237682581744004
1965-01-01,3.9080378277962202
1966-01-01,5.7621402362245906
1967-01-01,3.4553321831471400
1968-01-01,3.7207932801914096
1969-01-01,7.4217900550128499
1970-01-01,3.6689308880865505
1971-01-01,7.4776786767116095
1972-01-01,7.8027921925660495
1973-01-01,8.0222099587893592
1974-01-01,9.5914226726850806
1975-01-01,10.2174757948241002
1976-01-01,8.8306515860315606
1977-01-01,6.3992948740609696
1978-01-01,4.1120119626929101
1979-01-01,4.1992999016834798
1980-01-01,6.5134554552179695
1981-01-01,6.7389265520478201
1982-01-01,5.9110965846838397
1983-01-01,2.7408403316225800
1984-01-01,3.3016407575930402
1985-01-01,2.2585844298861999
1986-01-01,0.0833467771085387
1987-01-01,-0.6912104814115190
1988-01-01,0.7379506883323190
1989-01-01,1.0821581025329901
1990-01-01,2.4540918481834102
1991-01-01,3.1582004147712199
1992-01-01,3.1835818176155102
1993-01-01,2.5841844867179899
1994-01-01,2.8015246329317800
1995-01-01,1.9232200345352499
1996-01-01,1.9493671316600800
1997-01-01,2.1092456273948299
1998-01-01,1.9591363227425100
1999-01-01,2.1571791805505902
2000-01-01,2.3605223380194800
2001-01-01,4.1558412719561293
2002-01-01,3.2875310471277102
2003-01-01,2.0919983899765500
2004-01-01,1.2636473918318001
2005-01-01,1.6881301786962299
2006-01-01,1.1015010651770201
2007-01-01,1.6138585980210300
2008-01-01,2.4865019828945401
2009-01-01,1.1897768702155000
2010-01-01,1.2753056955668300
2011-01-01,2.3410701775137301
2012-01-01,2.4555476529160400
2013-01-01,2.5068985265788499
2014-01-01,0.9760350796996790
2015-01-01,0.6002481472787760
2016-01-01,0.3166666666667430
2017-01-01,1.3814587140720600
2018-01-01,1.7034979474447001
2019-01-01,2.6336991024960099
2020-01-01,1.2724603778916099
2021-01-01,2.6757200880538501
2022-01-01,10.0012078753472995
2023-01-01,3.8383935434280798
2024-01-01,3.3475430421995300
